word,FID
decorative,60.88267943076801
square,96.32135370809237
modern,46.19134422708447
computer,128.78708832860247
logo,80.97241731281582
sans_serif,65.44978172606534
stencil,80.16714304416308
headline,54.54297626070638
movie,70.87128052256236
geometric,97.06827849928351
legible,40.00896971816729
poster,66.51609447108444
modular,65.39740761093611
game,108.34660257019229
techno,100.77838903902352
technical,55.01784798235559
graphic,55.26227320755345
monoline,56.555980696792176
clean,75.0917222307308
display,78.81208421139604
symbol,62.79090247663913
retro,72.62597692342575
block,98.11540037140071
antique,35.41738772976328
grunge,50.04347498702134
distress,60.76022020677374
irregular,28.514852405099532
cyrillic,41.143014936474174
ornamental,39.330883245183145
ink,42.640362213259095
rustic,54.96523897927506
handwrite,50.819509809854935
russian,72.27314593310678
fancy,48.197269774736014
funny,62.64455406075456
digital,88.15015526227313
bold,97.12561745102414
line,87.85919540166446
cool,72.6872817184908
fun,71.62097637172315
futuristic,74.51385150030188
german,32.40623639703864
elegant,47.436236573114854
graceful,60.5193215534091
unusual,50.68403210856036
ancient,34.007875810953124
curly,53.64518990224701
fashionable,51.52045591704615
vintage,68.29683261325755
ligature,47.440498686267176
creative,54.33924993723889
script,37.129487379361706
engrave,44.91099640593313
scrapbook,77.81286868638423
calligraphy,40.704245169204626
wed,49.12932199570366
cursive,37.099291941376265
swash,35.291962593899484
xmas,39.436800856566606
calligraphic,30.54518690820987
italian,32.13729402821485
rough,46.76954124023598
certificate,54.42107448287845
party,68.82287965666796
invitation,46.40142414845786
greet,43.05922295890372
menu,43.45624174087237
latin,47.0892993905851
christmas,47.271391921190286
formal,41.935023734427716
serif,45.5439218255155
roman,34.953638385560794
french,32.23352190691355
round,96.12208863472654
revival,47.965506304611665
halloween,32.77701783577049
italic,48.26762320198014
wishlist,58.68970370181478
cap,46.81729357102313
title,63.592346629463464
outline,58.7762200435281
american,44.788964873174336
humanist,54.40866557432332
picture,51.636633821088026
alternate,36.09386902338446
draw,36.29434636171686
cartoon,43.0944983484211
handmade,65.78132657671574
transitional,46.537733869700304
english,36.61270825374356
informal,48.1516137570008
ornament,69.78583055566605
book,43.91346468629888
graffiti,38.342683909383936
magazine,66.74254458835594
narrow,67.18017788130686
news,73.26272898080518
dynamic,30.8567032458879
connect,42.07106015143816
hand,52.5950784293629
black,92.1015223437845
fat,42.4609129667042
comic,52.62662587761861
art_nouveau,36.50611838979859
text,47.74681164294191
newspaper,71.77903165497648
slab_serif,61.01048124568496
commercial,30.934254176738136
old,48.89036632321523
letterpress,49.31589873946109
classic,43.61830545944906
romantic,37.74104673922102
sans,48.10446204295937
package,49.35634836591413
grotesque,80.94273490779636
gothic,52.871398520468915
editorial,38.6410903838169
feminine,33.92107645209404
delicate,65.04389392141837
heavy,48.53680204081127
simple,47.32584875597365
contemporary,45.28944120276827
advertise,38.73582668810508
print,49.00121049383097
screen,123.42868068424389
art_deco,57.559988400104146
brand,70.63138378453436
multilingual,44.64482806307382
thin,81.87959183455277
punk,60.035890588364566
deco,57.400943327799496
sharp,77.06715996220586
3d,68.57705892154542
design,33.721189084641765
information,88.46392502580193
friendly,51.04330404833928
sophisticate,39.23475447624611
urban,48.15444445768679
artistic,46.77516423013401
sketch,42.77896487524447
casual,40.260221220717995
textured,42.358653513470074
shadow,53.400779287148225
kid,47.198760358124616
write,59.96298917068137
upright,65.72591446362082
inline,57.719504492612714
capital,43.03164351911323
industrial,55.87595966955604
cute,48.16112769781694
letter,45.51201437116464
child,56.79769907415164
tall,50.77897883738433
identity,72.82843584086618
readable,33.73734424501657
slab,104.23525023181742
wide,96.01498050508121
swiss,84.1836721642492
condense,41.83630480609315
wild,49.53602163010095
food,54.45883242752956
soft,45.678701772081354
minimal,48.04662176731563
experimental,62.772862139908966
fashion,78.042330546426
playful,64.99055725393305
brush,47.620755268230255
publish,44.58141930977274
unique,42.759015344298916
light,98.88430453763362
art,62.134369508279974
label,35.9154519318717
lovely,44.64587557094296
sweet,54.341405950436695
card,58.19411279996973
stylish,51.196185084666354
family,81.95789756242218
clear,62.29086787897569
signage,58.75944899136107
corporate,46.86674723442184
organic,31.13340329787144
fresh,54.69235043372203
western,51.76591595369257
luxury,56.06345169117162
restaurant,51.82457108205722
victorian,42.43548083277051
quirky,54.37564105730377
happy,58.037358824559135
logotype,40.4615672973714
layer,80.8350361692253
texture,51.844587816434796
pen,37.36208469511456
marker,44.643864701766006
web,56.395489628080725
natural,31.334324863672407
useful,58.526820827394374
lively,49.36052397223182
vacation,70.3891789984794
hipster,48.05222281617233
illustration,38.42801403853446
school,45.187579151674186
sign,76.26160365460498
tattoo,62.24763845554588
dingbat,44.17685074742093
novelty,95.53346343249513
angular,69.11510295020105
sport,85.98399838073686
ad,38.69178688125885
stationery,62.92589499174687
expressive,38.43952541420947
love,55.581026956233075
girly,47.7776713607995
music,67.91896934769153
beautiful,40.86075595595162
film,58.489589868593214
contrast,52.449253139046334
flourish,42.268834684441856
paint,36.74744210035374
crazy,61.25933602387727
workhorse,92.73934730153547
horror,43.93062616116276
business,127.34258781840336
neutral,44.8910389398315
valentine,57.27977606324066
linear,66.80842941322646
versatile,58.45243997554553
strong,82.22308333888503
masculine,54.52310214852315
bouncy,55.11779841156846
fast,45.57494568833846
conservative,32.08351133169322
funky,78.19476399362736
sturdy,64.33777490996988
greek,39.91076182752602
plain,42.21569398823459
flair,48.97442902381033
chromatic,71.0763450803787
mechanical,60.73424623927161
jazz,60.347278818261714
summer,51.97799095639755
free,48.53564906307298
squarish,86.30037271713616
military,112.46862196481393
